id,name,x,y
"aeogae","Aeogae","28.039329528808594","-5.500052452087402"
"daechi","Daechi","25.508056640625","-5.500052452087402"
"hanti","Hanti","20.273630142211914","-5.500052452087402"
"irwon","Irwon","21.711145401000977","-5.500052452087402"
"suseo","Suseo","22.336151123046875","-5.500052452087402"
"songpa","Songpa","27.85964012145996","-5.500052452087402"
"banpo","Banpo","24.047103881835938","-5.500052452087402"
"sangsu","Sangsu","26.656503677368164","-5.500052452087402"
"mapo","Mapo","21.117389678955078","-5.500052452087402"
"gireum","Gireum","27.336198806762695","-5.500052452087402"
"yongdu","Yongdu","28.851837158203125","-5.500052452087402"
"bomun","Bomun","26.890880584716797","-5.500052452087402"
"dolgoji","Dolgoji","26.1330623626709","-5.500052452087402"
"wolgok","Wolgok","28.179956436157227","-5.500052452087402"
"majang","Majang","27.07056999206543","-5.500052452087402"
"sindap","Sindap","25.453367233276367","-5.500052452087402"
"guui","Guui","17.273601531982422","-5.500052452087402"
"jayang","Jayang","25.922122955322266","-5.500052452087402"
"anam","Anam","21.734582901000977","-5.500052452087402"
"wolgye","Wolgye","27.906517028808594","-5.500052452087402"
"hagye","Hagye","23.601787567138672","-5.500052452087402"
"mia","Mia","13.453253746032715","-5.500052452087402"
"suyu","Suyu","18.40642547607422","-5.500052452087402"
"bosan","Bosan","22.87521743774414","-5.500052452087402"
"jihaeng","Jihaeng","28.781524658203125","-5.500052452087402"
"yangju","Yangju","26.047122955322266","-5.500052452087402"
"yangsu","Yangsu","27.125259399414062","-5.500052452087402"
"sinwon","Sinwon","27.570575714111328","-5.500052452087402"
"guksu","Guksu","23.265846252441406","-5.500052452087402"
"asin","Asin","16.039215087890625","-5.500052452087402"
"obin","Obin","17.922046661376953","-5.500052452087402"
"dosim","Dosim","23.648662567138672","-5.500052452087402"
"deokso","Deokso","27.984642028808594","-5.500052452087402"
"guri","Guri","15.61733627319336","-5.500052452087402"
"mangu","Mangu","25.547119140625","-5.500052452087402"
"sinnae","Sinnae","24.9689884185791","-5.500052452087402"
"hoegi","Hoegi","21.90645980834961","-5.500052452087402"
"jangji","Jangji","22.03145980834961","-5.500052452087402"
"sujin","Sujin","18.211111068725586","-5.500052452087402"
